time;stockInWarehouse;stockInFinalDest;numberOfBatchLargeToAverage;numberOfBatchAverageToSmall;numberOfBatchSmallToFinal;numberOfBatchProviderToLarge;totalNumberOfBatch;stockOnRoadsProviderToLarge;stockOnRoadsLargeToAverage;stockOnRoadsAverageToSmall;stockOnRoadsSmallToFinal;stockOnRoads
140,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
141,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
142,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
143,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
144,0; 2699890,581674998;572206,554789;190;307;1080;87;1664; 10724,685522500005; 11436,660572499999; 13865,536149999996; 29617,519599999974;65644,40184499997
145,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
146,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
147,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
148,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
149,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
150,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
151,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
152,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
153,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
154,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
155,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
156,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
157,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
158,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
159,0; 2655372,799633;591574,4738539997;187;313;975;114;1589; 9812,413487500005; 11869,823595999998; 14207,6866135; 22741,15709725;58631,08079425001
